No,Name,Pos,Yr,Ht,Wt,Hometown,Last School,Season
32,"Rice, Taylor",DB,FR,5-11,171,"Dublin, OH",Scioto,2008
80,"Robiskie, Brian",WR,SR,6-3,199,"Cleveland, OH",Chagrin Falls,2008
36,"Rolle, Brian",LB,SO,5-11,221,"Immokalee, FL",Immokalee,2008
9,"Rose, Robert",DL,JR,6-5,285,"Cleveland, OH",Glenville,2008
15,"Ruhl, Kyle",WR,SR,6-1,164,"Powell, OH",Dublin Coffman,2008
21,"Russell, Anderson",DB,JR,6-1,205,"Atlanta, GA",Marist,2008
6,"Sabino, Etienne",LB,FR,6-3,232,"Sunny Isles, FL",Dr. Krop,2008
3,"Saine, Brandon",RB,SO,6-1,217,"Piqua, OH",Piqua,2008
12,"Sanzenbacher, Dane",WR,SO,5-11,175,"Toledo, OH",Central Catholic,2008
16,"Schuck, Ryan",WR,JR,6-1,204,"Selinsgrove, PA",Selinsgrove Area,2008
6,"Schwartz, Grant",WR,SO,6-1,194,"Dana Hills, CA",Dana Hills,2008
11,"Scott, James",DB,SO,5-10,170,"Daytona Beach, FL",Seabreeze Senior,2008
76,"Shugarts, J.B.",OL,FR,6-8,298,"Klein, TX",Klein,2008
72,"Sika, Scott",OL,SO,6-2,280,"Strongsville, OH",Strongsville,2008
79,"Skinner, Jon",OL,SR,6-5,306,"Mount Carmel, PA",Mount Carmel Area,2008
69,"Slagle, Zach",OL,SO,6-1,297,"Canton, OH",McKinley,2008
82,"Small, Ray",WR,JR,5-11,180,"Cleveland, OH",Glenville,2008
87,"Smith, Brandon",TE,SR,6-2,251,"Euclid, OH",Euclid Senior,2008
77,"Smith, Connor",OL,SO,6-4,321,"Cincinnati, OH",Colerain,2008
48,"Smith, Spencer",FB,FR,6-2,225,"Cincinnati, OH",Colerain,2008
38,"Spitler, Austin",LB,JR,6-3,234,"Bellbrook, OH",Bellbrook,2008
11,"Stoneburner, Jake",WR,FR,6-5,230,"Dublin, OH",Dublin Coffman,2008
42,"Sweat, Andrew",LB,FR,6-2,220,"Washington, PA",Trinity,2008
55,"Terry, Curtis",LB,SR,6-1,229,"Cleveland, OH",Glenville,2008
48,"Thoma, Jon Majalap",P,JR,6-2,201,"Louisville, OH",St. Thomas Aquinas,2008
15,"Thomas, Lamaar",WR,FR,5-11,186,"Ft. Washington, MD",Friendly,2008
98,"Thomas, Solomon",DL,FR,6-5,240,"West Chester, OH",Lakota West,2008
10,"Torrence, Devon",WR,SO,6-1,193,"Canton, OH",Canton South,2008
15,"Trapasso, A.J.",P,SR,6-1,229,"Pickerington, OH",Pickerington,2008
20,"Washington, Donald",DB,JR,6-1,194,"Indianapolis, IN",Franklin Central,2008
5,"Washington, Taurian",WR,SO,6-2,179,"Orchard Lake, MI",St. Mary's,2008
28,"Wells, Chris",RB,JR,6-1,237,"Akron, OH",Garfield,2008
94,"Wells, Keith",DL,FR,6-5,210,"Gainesville, GA",Gainesville,2008
34,"Wells, Maurice",RB,SR,5-10,196,"Jacksonville, FL",Sandalwood,2008
24,"Williams, Marcus",RB,JR,5-10,202,"Ironton, OH",Ironton,2008
43,"Williams, Nathan",DL,FR,6-4,245,"Washington C.H., OH",Miami Trace,2008
87,"Wilson, Lawrence",DL,JR,6-4,274,"Akron, OH",St. Vincent-St. Mary High School,2008
84,"Worthington, Doug",DL,JR,6-6,276,"Athol Springs, NY",Saint Francis,2008
93,"Abdallah, Nader",DT,JR,6-5,297,"Metairie, LA",Archbishop Rummel,2007
13,"Amos, Andre",CB,SO,6-1,179,"Middletown, OH",Middletown,2007
86,"Ballard, Jake",TE,SO,6-7,255,"Springboro, OH",Springboro,2007
12,"Barclay, Devin",K,FR,5-11,178,"Annapolis, MD",McDonogh,2007
78,"Barrow, Alex",DE,JR,6-5,275,"Dublin, OH",Dublin Coffman,2007
74,"Barton, Kirk",OT,SR,6-6,300,"Massillon, OH",Massillon Perry,2007
14,"Bauserman, Joe",QB,FR,6-2,220,"Woodstock, VA",Lincoln,2007
68,"Blankenship, Evan",OL,FR,6-3,298,"Monaca, PA",Center Area,2007
17,"Boeckman, Todd",QB,JR,6-5,243,"St. Henry, OH",St. Henry,2007
75,"Boone, Alex",OT,JR,6-8,313,"Lakewood, OH",St. Edwards,2007
70,"Browning, Bryant",OL,FR,6-4,311,"Cleveland, OH",Glenville,2007
5,"Chekwa, Chimdi",DB,FR,6-1,185,"Clermont, FL",East Ridge,2007
46,"Christian, K.C.",RB,FR,6-1,195,"Kitts Hill, OH",Rock Hill,2007
32,"Clifford, Eugene",DB,FR,6-2,191,"Cincinnati, OH",Colerain,2007
4,"Coleman, Kurt",CB,SO,5-11,187,"Clayton, OH",Northmont,2007
64,"Cordle, Jim",C,SO,6-4,302,"Lancaster, OH",Lancaster,2007
52,"Curtis, Don",LS,FR,6-1,196,"Hilliard, OH",Davidson,2007
92,"Daly, Brett",DL,SR,6-6,255,"Elyria, OH",Elyria,2007
36,"Daniels, Matt",DB,JR,5-7,214,"New Albany, OH",New Albany,2007
35,"DeLande, Bo",RB,FR,6-1,210,"Hilliard, OH",Davidson,2007
92,"Denlinger, Todd",DL,SO,6-3,286,"Troy, OH",Troy,2007
39,"Dougherty, Michael",DB,JR,5-11,196,"Youngstown, OH",Boardman,2007
5,"Dukes, Albert",WR,JR,6-1,194,"Belle Glade, FL",Glades Central,2007
78,"Dye, Daniel",OL,SR,6-3,277,"Napoleon, OH",Napoleon,2007
65,"Ebner, Doug",OL,JR,6-4,278,"Hershey, PA",Hershey,2007
30,"Evege, Donnie",DB,FR,5-11,191,"Huber Heights, OH",Wayne,2007
1,"Freeman, Marcus",LB,JR,6-2,236,"Huber Heights, OH",Wayne,2007
8,"Gant, Aaron",S,SO,6-1,201,"Orchard Lake, MI",St. Mary's,2007
33,"Gantz, Joe",RB,SO,6-1,205,"Wooster, OH",Wooster,2007
24,"Gentry, Tyson",P,JR,6-2,165,"Sandusky, OH",Perkins,2007
50,"Gholston, Vernon",DL,JR,6-4,264,"Detroit, MI",Cass Technical,2007
37,"Gibson, Thaddeus",LB,FR,6-3,228,"Euclid, OH",Euclid,2007
39,"Good, Andrew",K,JR,5-10,190,"Boardman, OH",Boardman,2007
6,"Grant, Larry",LB,SR,6-3,226,"San Francisco, CA",CC of San Francisco/Norcross (GA),2007
69,"Gray, Bryan",DL,SO,6-1,286,"Antwerp, OH",Antwerp,2007
61,"Haas, Jackson",LS,SR,6-3,228,"Piqua, OH",Lehman,2007
9,"Hartline, Brian",WR,SO,6-3,180,"North Canton, OH",GlenOak,2007
41,"Haslam, De'Angelo",DB,SR,5-9,170,"Akron, OH",Garfield,2007
7,"Henton, Antonio",QB,FR,6-2,232,"Fort Valley, GA",Peach County,2007
2,"Herron, Daniel",RB,FR,5-10,190,"Warren, OH",Harding,2007
97,"Heyward, Cameron",DT,FR,6-6,282,"Suwanee, GA",Peachtree Ridge,2007
7,"Hines, Jermale",LB,FR,6-2,209,"Cleveland, OH",Glenville,2007
51,"Homan, Ross",LB,SO,6-1,230,"Coldwater, OH",Coldwater,2007
53,"Howe, Patrick",LS,FR,6-3,215,"Cincinnati, OH",St. Xavier,2007
89,"Hummel, Garrett",WR,FR,5-11,180,"Shelby, OH",Shelby,2007
57,"Ingham, Tom",DE,SO,6-1,252,"Centerville, OH",Centerville,2007
2,"Jenkins, Malcolm",CB,JR,6-1,208,"Piscataway, NJ",Piscataway,2007
49,"Johnson, Dionte",FB,SR,6-1,242,"Columbus, OH",Eastmoor Academy,2007
44,"Johnson, Mark",LB,FR,6-4,243,"Los Angeles, CA",Dorsey,2007
13,"Kacsandi, Ben",QB,JR,6-1,207,"Wooster, OH",Wooster,2007
73,"Kerr, Josh",OT,FR,6-5,276,"Strongsville, OH",Strongsville,2007
29,"Lane, Shaun",CB,JR,5-10,175,"Hubbard, OH",Hubbard,2007
72,"Larimore, Dexter",DT,FR,6-3,304,"Merrillville, IN",Merrillville,2007
46,"Larson, J.D.",TE,SO,6-4,230,"Ventura, CA",Ventura,2007
33,"Laurinaitis, James",LB,JR,6-3,240,"Hamel, MN",Wayzata,2007
59,"Libby, Kyle",LB,FR,6-2,224,"Heath, OH",Heath,2007
18,"Lisko, David",WR,JR,6-1,204,"Hilliard, OH",Hilliard Darby,2007
49,"Lukens, Ryan",LB,JR,6-1,223,"Lebanon, OH",Archbishop Moeller,2007
18,"Lyons, Devon",WR,JR,6-4,214,"North Braddock, PA",Woodland Hills,2007
56,"Makridis, Dimitrios",LS,SR,6-1,208,"Warren, OH",Harding,2007
57,"Malone, Chris",OL,SO,6-2,273,"Gahanna, OH",Lincoln,2007
41,"Mattimoe, Matt",K,SO,5-11,159,"Atlanta, GA",Marist School,2007
96,"McQuaide, Jake",LS,FR,6-3,211,"Cincinnati, OH",Elder,2007
82,"Miller, Andy",TE,FR,6-6,253,"Washington, PA",Trinity,2007
67,"Mitchum, Kyle",OG,JR,6-5,294,"Erie, PA",McDowell,2007
26,"Moeller, Tyler",LB,FR,6-1,203,"Cincinnati, OH",Colerain,2007
66,"Moses, Andrew",OL,SO,6-3,272,"Dublin, OH",Bishop Watterson,2007
88,"Nicol, Rory",TE,JR,6-5,250,"Beaver, PA",Beaver Area,2007
3,"O'Neal, Jamario",S,JR,6-1,199,"Cleveland, OH",Glenville,2007
14,"Oliver, Nate",S,FR,6-1,209,"Lakewood, OH",St. Edwards,2007
43,"Olson, Aram",FB,FR,6-2,240,"Columbia, SC",Irmo,2007
23,"Patterson, Nick",S,JR,6-2,212,"St. Louis, MO",Hazelwood Central,2007
25,"Pentello, Rocco",S,FR,6-1,198,"Westerville, OH",South,2007
63,"Person, Ben",OG,JR,6-4,321,"Xenia, OH",Xenia,2007
20,"Pettrey, Aaron",K,SO,6-1,193,"Raceland, KY",Raceland-Worthington,2007
86,"Potokar, Dan",WR,SO,6-1,181,"Grove City, OH",Grove City,2007
85,"Pretorius, Ryan",K,JR,5-9,175,"Durban, South Africa",Westville Boys,2007
71,"Rehring, Steve",OT,JR,6-8,345,"West Chester, OH",Lakota West,2007
95,"Rietschlin, Chris",DL,JR,6-4,265,"Crestline, OH",Buckeye Central,2007
16,"Robinson, Trever",RB,SR,6-1,225,"Richmond, VA",Huguenot,2007
80,"Robiskie, Brian",WR,JR,6-3,196,"Cleveland, OH",Chagrin Falls,2007
36,"Rolle, Brian",LB,FR,5-11,212,"Immokalee, FL",Immokalee,2007
9,"Rose, Robert",DE,FR,6-5,294,"Cleveland, OH",Glenville,2007
15,"Ruhl, Kyle",WR,JR,6-1,163,"Powell, OH",Dublin Coffman,2007
21,"Russell, Anderson",S,SO,6-1,205,"Atlanta, GA",Marist,2007
3,"Saine, Brandon",RB,FR,6-1,220,"Piqua, OH",Piqua,2007
12,"Sanzenbacher, Dane",WR,FR,5-11,178,"Toledo, OH",Central Catholic,2007
11,"Schoenhoft, Rob",QB,SO,6-6,244,"Mason, OH",St. Xavier,2007
24,"Schwartz, Grant",DB,FR,6-1,203,"Dana Hills, CA",Dana Hills,2007
11,"Scott, James",DB,FR,5-10,171,"Daytona Beach, FL",Seabreeze Senior,2007
76,"Sika, Scott",OL,FR,6-3,277,"Strongsville, OH",Strongsville,2007
79,"Skinner, Jon",OL,JR,6-5,294,"Mount Carmel, PA",Mount Carmel Area,2007
69,"Slagle, Zach",OL,FR,6-3,311,"Canton, OH",McKinley,2007
4,"Small, Ray",WR,SO,6-1,182,"Cleveland, OH",Glenville,2007
87,"Smith, Brandon",TE,JR,6-3,240,"Euclid, OH",Euclid Senior,2007
77,"Smith, Connor",OL,FR,6-5,317,"Cincinnati, OH",Colerain,2007
48,"Smith, Spencer",FB,FR,6-2,230,"Cincinnati, OH",Colerain,2007
38,"Spitler, Austin",LB,SO,6-3,234,"Bellbrook, OH",Bellbrook,2007
55,"Terry, Curtis",LB,SR,6-2,236,"Cleveland, OH",Glenville,2007
48,"Thoma, Jon Majalap",P,SO,6-1,199,"Louisville, OH",St. Thomas Aquinas,2007
98,"Thomas, Solomon",DE,FR,6-5,225,"West Chester, OH",Lakota West,2007
10,"Torrence, Devon",S,FR,6-1,190,"Canton, OH",Canton South,2007
15,"Trapasso, A.J.",P,JR,6-1,224,"Pickerington, OH",Pickerington,2007
81,"Ullery, Brent",WR,SR,6-1,195,"Centerville, OH",Centerville,2007
20,"Washington, Donald",DB,SO,6-1,188,"Indianapolis, IN",Franklin Central,2007
19,"Washington, Taurian",WR,FR,6-2,180,"Orchard Lake, MI",St. Mary's,2007
28,"Wells, Chris",RB,SO,6-1,235,"Akron, OH",Garfield,2007
34,"Wells, Maurice",RB,JR,5-10,195,"Jacksonville, FL",Sandalwood,2007
42,"Whaley, Tyler",FB,SR,6-1,265,"Ironton, OH",Ironton,2007
24,"Williams, Marcus",RB,FR,5-9,210,"Ironton, OH",Ironton,2007
17,"Willis, Zach",DB,JR,5-10,164,"Hubbard, OH",Hubbard,2007
87,"Wilson, Lawrence",DE,JR,6-6,276,"Akron, OH",St. Vincent-St. Mary High School,2007
84,"Worthington, Doug",DE,SO,6-7,271,"Athol Springs, NY",Saint Francis,2007
